"108年12月11日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"2704","國賓","854,000","387","27,070,300","31.20","32.10","31.20","32.10","+","0.90","32.10","16","32.15","9","32.76",
"2705","六福","126,000","59","1,891,750","15.00","15.15","14.90","15.05","+","0.05","14.95","12","15.05","3","0.00",
"2706","第一店","171,000","57","2,677,200","15.75","15.75","15.60","15.65","-","0.10","15.65","17","15.70","22","13.73",
"2707","晶華","129,000","94","21,794,000","170.00","170.50","168.50","169.00","-","1.00","168.50","11","169.00","11","15.68",
"2712","遠雄來","32,000","30","1,594,800","49.95","50.70","49.40","50.70","+","0.60","50.50","2","51.00","1","0.00",
"2722","夏都","0","0","0","--","--","--","--"," ","0.00","24.50","1","25.00","1","46.79",
"2723","美食-KY","617,000","513","74,868,000","122.00","123.00","120.50","121.50","-","0.50","121.50","3","122.00","31","20.59",
"2727","王品","521,000","426","42,143,200","81.10","81.80","80.40","80.60","-","1.60","80.60","2","80.80","8","17.68",
"2731","雄獅","64,000","58","4,966,800","77.50","77.90","77.30","77.30","+","0.10","77.30","11","77.40","1","35.46",
"2739","寒舍","10,000","10","243,250","24.30","24.50","24.30","24.35","+","0.05","24.30","2","24.35","11","24.85",
"2748","雲品","113,000","92","5,668,750","50.00","50.90","49.80","50.60","+","1.10","50.50","5","50.70","1","15.47",
"2801","彰銀","8,204,000","1,688","184,846,300","22.75","22.75","22.45","22.50","-","0.15","22.45","479","22.50","111","19.23",
"2809","京城銀","795,000","354","26,143,650","32.90","32.95","32.80","32.85","-","0.15","32.80","94","32.85","16","29.86",
"2812","台中銀","4,302,000","2,025","51,053,800","11.90","11.90","11.85","11.90","+","0.05","11.85","2,615","11.90","2,013","10.62",
"2816","旺旺保","348,000","174","7,499,650","21.50","21.60","21.45","21.55","+","0.05","21.55","6","21.60","36","6.39",
"2820","華票","650,000","146","9,742,350","14.95","15.00","14.95","14.95"," ","0.00","14.95","305","15.00","261","16.25",
"2823","中壽","4,349,000","1,490","110,525,700","25.30","25.50","25.30","25.50","+","0.25","25.45","62","25.50","52","9.01",
"2832","台產","171,000","90","3,551,950","20.75","20.80","20.75","20.75"," ","0.00","20.75","22","20.80","17","12.43",
"2834","臺企銀","10,194,000","2,710","126,643,700","12.40","12.45","12.40","12.40"," ","0.00","12.40","9,785","12.45","1,293","12.53",
"2836","高雄銀","497,000","96","4,865,650","9.80","9.80","9.78","9.80","+","0.01","9.79","114","9.80","29","15.56",
"2838","聯邦銀","566,000","248","6,199,750","10.95","11.00","10.90","10.95"," ","0.00","10.90","622","10.95","5","11.17",
"2838A","聯邦銀甲特","17,000","8","931,600","54.80","54.80","54.80","54.80"," ","0.00","54.70","115","54.80","73","0.00",
"2841","台開","660,000","174","5,786,630","8.80","8.80","8.75","8.77"," ","0.00","8.77","1","8.78","5","14.62",
"2845","遠東銀","1,432,000","310","17,127,750","11.95","12.00","11.95","11.95"," ","0.00","11.95","861","12.00","851","10.48",
"2849","安泰銀","61,000","23","939,750","15.40","15.55","15.40","15.40"," ","0.00","15.40","17","15.45","2","11.76",
"2850","新產","141,000","84","5,428,000","38.30","38.75","38.30","38.45","+","0.15","38.50","3","38.55","10","8.27",
"2851","中再保","186,000","50","3,574,150","19.15","19.25","19.15","19.25","+","0.05","19.20","16","19.25","22","9.30",
"2852","第一保","171,000","49","2,420,300","14.15","14.20","14.10","14.15"," ","0.00","14.15","51","14.20","35","11.50",
"2855","統一證","1,994,000","411","28,190,650","14.10","14.25","14.00","14.20","+","0.10","14.20","463","14.25","335","11.74",
"2867","三商壽","2,204,000","455","25,740,150","11.65","11.75","11.60","11.75","+","0.10","11.70","287","11.75","277","9.96",
"2880","華南金","4,185,000","1,528","90,733,500","21.65","21.75","21.60","21.75","+","0.10","21.70","15","21.75","828","16.73",
"2881","富邦金","19,210,000","6,549","882,635,250","45.70","46.10","45.60","45.95","+","0.40","45.90","137","45.95","24","10.35",
"2881A","富邦特","339,000","52","21,991,200","64.80","64.90","64.80","64.90"," ","0.00","64.80","3","64.90","187","0.00",
"2881B","富邦金乙特","18,000","8","1,150,500","63.90","64.00","63.90","64.00","+","0.10","63.90","6","64.00","29","0.00",
"2882","國泰金","30,703,000","12,281","1,295,878,050","41.75","42.40","41.70","42.40","+","0.70","42.35","103","42.40","2,502","12.40",
"2882A","國泰特","520,000","75","33,128,600","63.70","63.80","63.70","63.80"," ","0.00","63.70","429","63.80","440","0.00",
"2882B","國泰金乙特","348,000","33","22,203,500","63.80","63.90","63.80","63.90","+","0.10","63.80","43","63.90","42","0.00",
"2883","開發金","18,209,000","3,599","176,366,630","9.65","9.73","9.63","9.69","+","0.03","9.69","195","9.70","165","14.04",
"2884","玉山金","8,623,000","2,401","235,177,750","27.25","27.30","27.20","27.30"," ","0.00","27.30","3","27.35","542","16.25",
"2885","元大金","7,761,000","1,640","154,189,250","19.80","19.95","19.75","19.95","+","0.10","19.90","89","19.95","1,833","12.16",
"2886","兆豐金","14,532,000","4,972","436,980,450","30.10","30.15","30.00","30.10","-","0.10","30.10","318","30.15","21","14.68",
"2887","台新金","9,079,000","3,011","129,633,350","14.30","14.30","14.25","14.30"," ","0.00","14.25","3,994","14.30","1,649","12.02",
"2887E","台新戊特","154,000","20","8,623,600","55.80","56.00","55.80","55.90"," ","0.00","55.90","1","56.00","154","0.00",
"2887F","台新戊特二","30,000","28","1,625,500","54.10","54.20","54.10","54.20"," ","0.00","54.10","15","54.20","13","0.00",
"2888","新光金","36,616,000","3,913","372,448,200","10.20","10.25","10.10","10.20","-","0.05","10.15","5,583","10.20","3,187","12.91",
"2888A","新光金甲特","275,000","71","12,593,650","45.80","45.80","45.75","45.80"," ","0.00","45.75","262","45.80","214","0.00",
"2889","國票金","1,295,000","405","14,148,600","10.95","10.95","10.90","10.90","-","0.05","10.90","2,077","10.95","264","11.98",
"2890","永豐金","11,194,000","1,507","143,704,550","12.80","12.90","12.75","12.90","+","0.10","12.85","4","12.90","816","13.16",
"2891","中信金","29,510,000","5,921","650,229,550","21.95","22.10","21.90","22.10","+","0.15","22.05","15","22.10","1,276","10.28",
"2891B","中信金乙特","2,000","2","131,200","65.60","65.60","65.60","65.60","-","0.10","65.50","1","65.60","4","0.00",
"2891C","中信金丙特","21,000","18","1,322,700","63.00","63.10","62.90","63.10","+","0.10","62.90","12","63.10","4","0.00",
"2892","第一金","8,642,000","3,600","198,502,900","23.00","23.00","22.90","22.95","-","0.05","22.95","986","23.00","1,155","15.51",
"2897","王道銀行","723,000","128","5,612,470","7.75","7.77","7.75","7.77","+","0.01","7.76","5","7.77","14","16.53",
"2897A","王道銀甲特","6,000","5","63,200","10.50","10.55","10.50","10.55","+","0.05","10.50","204","10.55","87","0.00",
"2901","欣欣","17,000","4","399,700","23.55","23.55","23.50","23.50"," ","0.00","23.25","4","23.45","5","58.75",
"2903","遠百","1,294,000","392","32,625,750","25.30","25.40","25.15","25.15","-","0.15","25.10","102","25.15","21","21.13",
"2904","匯僑","18,000","11","426,650","23.65","23.75","23.65","23.75","+","0.05","23.70","11","23.80","7","12.50",
"2905","三商","2,165,000","1,045","46,929,200","21.30","22.05","21.20","21.90","+","0.70","21.85","10","21.90","17","7.02",
"2906","高林","147,000","44","1,667,500","11.30","11.45","11.25","11.35","+","0.05","11.35","6","11.40","10","39.14",
"2908","特力","162,000","104","3,333,100","20.75","20.75","20.50","20.60","-","0.05","20.50","59","20.60","26","0.00",
"2910","統領","19,000","15","567,050","30.10","30.20","29.45","29.45","-","0.65","29.40","4","29.80","2","56.63",
"2911","麗嬰房","469,000","121","3,469,160","7.35","7.44","7.34","7.41","+","0.05","7.38","26","7.41","6","0.00",
"2912","統一超","1,095,000","781","330,551,000","302.00","302.50","300.00","302.50","+","0.50","302.00","6","302.50","10","29.86",
"2913","農林","953,000","282","15,595,250","16.25","16.45","16.25","16.45","+","0.20","16.40","1","16.45","91","0.00",
"2915","潤泰全","2,211,000","1,328","163,112,800","74.00","74.20","73.40","73.80","-","0.40","73.70","11","73.80","43","3.83",
"2923","鼎固-KY","17,000","13","431,300","25.35","25.65","25.30","25.40","-","0.05","25.40","4","25.55","1","4.38",
"2929","淘帝-KY","865,000","650","76,874,500","89.50","89.70","88.20","88.50","-","0.10","88.50","17","88.80","6","6.45",
"2936","客思達-KY","4,000","2","81,200","20.30","20.30","20.30","20.30"," ","0.00","19.85","5","20.30","5","2,030.00",
"2939","凱羿-KY","4,000","3","416,000","104.00","104.00","104.00","104.00","-","1.50","103.50","1","104.00","1","16.91",
"3002","歐格","687,000","276","7,981,700","11.55","11.75","11.50","11.55","-","0.15","11.55","28","11.70","2","24.57",
"3003","健和興","977,000","751","45,164,650","47.40","47.40","45.60","45.90","-","1.30","45.90","13","45.95","2","15.05",
"3004","豐達科","266,000","217","25,153,000","95.30","95.80","93.80","93.80","-","1.50","93.80","16","93.90","1","13.63",
"3005","神基","622,000","394","29,303,200","47.10","47.25","46.90","47.15","+","0.35","47.15","19","47.20","9","13.51",
"3006","晶豪科","2,533,000","1,433","84,048,000","33.50","33.70","32.85","33.30","-","0.20","33.25","4","33.30","20","28.71",
"3008","大立光","403,000","370","1,886,535,000","4,705.00","4,715.00","4,660.00","4,680.00","+","5.00","4,675.00","2","4,680.00","1","23.56",
"3010","華立","212,000","149","12,110,800","56.70","57.50","56.70","57.20","+","0.60","57.10","18","57.20","3","9.04",
"3011","今皓","47,000","22","298,410","6.39","6.39","6.32","6.34","-","0.05","6.33","3","6.36","1","0.00",
"3013","晟銘電","223,000","106","3,180,450","14.15","14.30","14.15","14.30"," ","0.00","14.25","20","14.30","20","21.67",
"3014","聯陽","734,000","520","32,246,450","44.05","44.15","43.75","44.05"," ","0.00","44.00","8","44.05","2","14.68",
"3015","全漢","147,000","92","3,121,850","21.40","21.40","21.15","21.20","-","0.15","21.20","2","21.25","2","75.71",
"3016","嘉晶","2,132,000","1,332","110,502,800","51.90","52.30","51.60","51.60","-","0.90","51.60","6","51.70","3","117.27",
"3017","奇鋐","1,911,000","1,149","76,758,050","40.15","40.50","40.00","40.00","-","0.10","40.00","84","40.05","5","16.26",
"3018","同開","403,000","222","9,289,300","22.80","23.40","22.65","23.30","+","0.60","23.30","8","23.35","3","0.00",
"3019","亞光","1,403,000","840","111,104,300","79.20","79.60","78.70","79.10","-","0.10","79.10","7","79.20","1","18.74",
"3021","鴻名","182,000","107","2,836,750","15.50","15.80","15.40","15.65","+","0.35","15.60","6","15.70","26","11.18",
"3022","威強電","83,000","68","4,428,700","53.40","53.60","53.00","53.30","-","0.10","53.30","3","53.60","2","10.23",
"3023","信邦","1,224,000","970","148,312,500","118.00","123.00","118.00","123.00","+","4.50","122.50","1","123.00","53","17.06",
"3024","憶聲","877,000","226","7,506,690","8.67","8.67","8.49","8.63","-","0.07","8.54","1","8.63","6","13.28",
"3025","星通","141,000","80","2,959,500","20.75","21.45","20.75","21.20","+","0.45","21.15","5","21.20","5","33.65",
"3026","禾伸堂","975,000","722","97,654,100","100.50","101.00","99.80","100.00","+","0.10","99.90","87","100.00","3","15.27",
"3027","盛達","64,000","28","508,160","7.98","7.99","7.91","7.93","-","0.07","7.93","1","7.94","4","3.95",
"3028","增你強","165,000","96","3,408,600","20.70","20.70","20.60","20.70"," ","0.00","20.65","24","20.70","25","15.56",
"3029","零壹","781,000","439","23,691,100","30.60","30.60","30.20","30.25","-","0.35","30.20","63","30.25","1","12.30",
"3030","德律","352,000","216","18,312,600","51.90","52.40","51.70","52.30","+","0.70","52.20","6","52.30","8","13.14",
"3031","佰鴻","2,929,000","1,311","49,894,700","16.45","17.35","16.40","17.35","+","0.90","17.30","5","17.35","102","14.46",
"3032","偉訓","720,000","421","20,491,850","28.15","28.80","28.10","28.45","+","0.65","28.45","10","28.50","20","11.07",
"3033","威健","218,000","127","3,866,450","17.70","17.80","17.70","17.80","+","0.05","17.75","1","17.80","22","22.82",
"3034","聯詠","7,041,000","3,665","1,612,312,000","229.00","231.00","225.50","230.00","+","2.50","230.00","159","230.50","187","17.11",
"3035","智原","2,872,000","2,003","157,676,500","54.50","55.30","54.40","55.00","+","0.60","55.00","24","55.10","2","36.18",
"3036","文曄","1,754,000","821","72,466,900","41.10","41.50","41.10","41.30","+","0.30","41.25","48","41.30","17","10.10",
"3037","欣興","12,990,000","5,823","571,822,150","44.20","44.35","43.75","43.90","-","0.10","43.90","27","43.95","5","21.84",
"3038","全台","1,916,000","814","34,736,300","18.25","18.30","18.05","18.05","-","0.10","18.00","120","18.05","11","10.87",
"3040","遠見","16,000","15","451,850","28.55","28.55","28.15","28.35","+","0.15","28.15","13","28.40","13","20.40",
"3041","揚智","2,827,000","1,101","51,613,250","18.15","18.40","18.05","18.40","+","0.50","18.35","266","18.40","13","0.00",
"3042","晶技","14,166,000","8,228","671,887,450","47.70","48.15","46.50","47.90","+","0.10","47.85","3","47.90","55","22.81",
"3043","科風","171,000","36","339,050","1.99","2.00","1.97","1.97","-","0.03","1.96","2","1.97","3","4.10",
"3044","健鼎","1,417,000","1,008","176,945,000","125.00","126.50","124.00","125.00","+","1.00","125.00","44","125.50","121","11.25",
"3045","台灣大","1,779,000","519","202,533,000","114.00","114.00","113.50","113.50"," ","0.00","113.50","976","114.00","137","25.17",
"3046","建碁","51,000","27","889,800","17.75","17.75","17.35","17.40","-","0.30","17.40","14","17.60","2","75.65",
"3047","訊舟","524,000","201","5,478,600","10.40","10.50","10.40","10.40"," ","0.00","10.40","83","10.45","9","17.93",
"3048","益登","1,097,000","575","21,558,300","19.60","19.85","19.45","19.85","+","0.25","19.80","14","19.85","117","12.25",
"3049","和鑫","6,009,000","1,530","83,466,400","13.95","14.00","13.80","13.85"," ","0.00","13.85","50","13.90","118","14.58",
"3050","鈺德","7,228,000","2,027","86,455,700","12.05","12.20","11.70","11.70","-","0.25","11.65","105","11.70","72","13.15",
"3051","力特","82,000","21","233,700","2.85","2.85","2.85","2.85","-","0.01","2.85","3","2.89","6","0.00",
"3052","夆典","1,746,000","616","21,535,650","12.40","12.50","12.20","12.35","-","0.10","12.30","7","12.35","42","0.00",
"3054","立萬利","4,000","4","94,050","23.60","23.65","23.40","23.40","-","0.05","23.30","1","23.40","3","111.43",
"3055","蔚華科","165,000","92","4,374,050","27.00","27.00","26.20","26.20","-","0.75","26.20","10","26.45","5","327.50",
"3056","總太","2,004,000","961","60,366,400","30.50","30.50","29.90","29.95","-","0.55","29.95","23","30.00","8","16.19",
"3057","喬鼎","2,765,000","705","20,747,410","7.20","7.59","7.18","7.59","+","0.69","7.59","813","--","0","0.00",
"3058","立德","45,000","25","328,820","7.32","7.33","7.29","7.32"," ","0.00","7.29","8","7.32","5","0.00",
"3059","華晶科","492,000","322","11,426,700","23.25","23.35","23.10","23.20","-","0.15","23.20","14","23.30","1","61.05",
"3060","銘異","279,000","159","3,763,450","13.45","13.65","13.40","13.40","+","0.05","13.40","1","13.50","10","0.00",
"3062","建漢","1,567,000","689","28,784,050","18.25","18.55","18.25","18.30","-","0.10","18.30","5","18.35","8","67.78",
"3090","日電貿","1,135,000","759","58,150,100","51.50","51.80","51.00","51.00","-","0.40","51.00","21","51.20","11","12.62",
"3094","聯傑","232,000","116","3,977,800","17.30","17.30","17.05","17.25","-","0.05","17.25","2","17.30","10","46.62",
"3130","一零四","43,000","10","6,999,500","163.50","163.50","162.50","163.00","+","2.00","162.00","3","163.00","1","19.64",
"3149","正達","192,000","101","1,833,580","9.53","9.60","9.50","9.60","+","0.10","9.57","1","9.60","17","0.00",
"3164","景岳","53,000","38","1,343,750","25.70","25.75","25.15","25.20","-","0.30","25.20","2","25.30","1","25.98",
"3167","大量","279,000","167","11,069,300","39.75","40.00","39.45","40.00"," ","0.00","39.75","1","40.00","5","15.62",
"3189","景碩","18,788,000","10,183","1,034,439,500","53.30","56.50","53.20","54.70","+","1.30","54.70","7","54.80","117","0.00",
"3209","全科","1,270,000","494","26,685,200","20.90","21.15","20.75","21.05","+","0.30","21.00","52","21.05","9","14.42",
"3229","晟鈦","33,000","20","419,800","12.65","12.80","12.65","12.65","-","0.05","12.65","3","12.75","1","0.00",
"3231","緯創","32,017,000","8,839","951,266,900","29.50","30.10","29.30","29.50","+","0.05","29.45","71","29.50","573","13.78",
"3257","虹冠電","44,000","36","2,626,600","59.30","59.90","59.30","59.80"," ","0.00","59.50","6","59.80","6","58.63",
"3266","昇陽","188,000","22","2,897,100","15.35","15.55","15.35","15.55","+","0.20","15.45","1","15.55","9","36.16",
"3296","勝德","44,000","28","657,150","15.15","15.15","14.90","14.95","-","0.20","14.85","6","14.95","2","15.10",
"3305","昇貿","192,000","101","4,769,250","24.55","25.10","24.55","24.70","+","0.20","24.70","3","24.75","2","16.04",
"3308","聯德","112,000","60","651,550","5.50","6.05","5.50","5.85","+","0.35","5.73","3","5.85","1","0.00",
"3311","閎暉","77,000","63","2,043,450","26.60","26.60","26.40","26.60"," ","0.00","26.55","2","26.75","5","0.00",
"3312","弘憶股","527,000","204","8,637,300","16.40","16.45","16.30","16.30","-","0.10","16.30","29","16.40","17","13.15",
"3321","同泰","387,000","168","6,081,450","15.70","15.95","15.55","15.70","+","0.05","15.65","32","15.70","2","0.00",
"3338","泰碩","2,888,000","2,159","265,814,800","93.20","93.20","91.20","91.50","-","1.20","91.50","41","91.60","8","29.05",
"3346","麗清","397,000","303","12,378,350","30.40","31.80","30.40","30.90","+","1.00","30.90","4","31.00","1","34.33",
"3356","奇偶","217,000","128","6,626,950","30.50","30.80","30.45","30.60"," ","0.00","30.60","19","30.70","1","45.00",
"3376","新日興","2,064,000","1,352","257,545,000","123.00","126.00","122.50","124.50","+","2.00","124.50","228","125.00","6","17.10",
"3380","明泰","2,933,000","1,200","66,906,950","22.60","22.95","22.55","22.90","+","0.60","22.85","24","22.90","120","43.21",
"3383","新世紀","48,000","15","198,480","4.24","4.25","4.08","4.18","-","0.06","4.10","8","4.16","2","0.00",
"3406","玉晶光","18,050,000","13,709","8,373,497,500","451.00","474.50","450.00","474.50","+","22.00","474.00","1","474.50","16","26.38",
"3413","京鼎","10,767,000","6,911","1,973,261,500","173.50","189.00","172.00","189.00","+","17.00","189.00","1,618","--","0","26.66",
"3416","融程電","13,000","10","722,200","55.80","55.80","55.40","55.60"," ","0.00","55.60","5","55.70","8","15.66",
"3419","譁裕","564,000","254","10,251,200","18.35","18.35","18.05","18.15","+","0.05","18.15","9","18.20","5","0.00",
"3432","台端","25,000","16","329,500","13.15","13.25","13.15","13.15"," ","0.00","13.15","2","13.20","45","12.06",
"3437","榮創","3,630,000","1,505","67,149,400","18.45","18.85","18.20","18.60","+","0.20","18.55","25","18.60","2","0.00",
"3443","創意","2,818,000","2,266","676,862,500","245.50","247.00","238.00","239.00","-","5.00","239.00","26","239.50","1","50.42",
"3450","聯鈞","745,000","499","40,076,600","53.40","54.20","53.40","53.70","+","0.40","53.60","14","53.70","7","26.85",
"3454","晶睿","208,000","161","18,852,800","91.80","91.80","90.00","91.00","-","0.30","90.30","2","91.00","3","22.92",
"3481","群創","85,404,000","12,365","689,086,830","8.12","8.15","8.02","8.05","-","0.03","8.04","537","8.05","841","0.00",
"3494","誠研","115,000","55","511,070","4.41","4.52","4.40","4.47","+","0.08","4.47","4","4.48","3","0.00",
"3501","維熹","68,000","46","3,344,600","49.00","49.35","49.00","49.25","+","0.15","49.15","1","49.30","5","10.20",
"3504","揚明光","272,000","198","21,311,900","78.50","78.90","78.20","78.30","+","0.10","78.30","3","78.50","8","153.53",
"3515","華擎","978,000","730","78,436,300","80.60","81.40","79.30","79.30","-","0.30","79.30","16","79.40","1","19.06",
"3518","柏騰","829,000","542","24,495,300","29.10","30.20","28.50","30.00","+","1.00","29.95","3","30.00","12","0.00",
"3528","安馳","39,000","30","1,451,400","37.50","37.50","37.00","37.30","-","0.10","37.25","4","37.30","2","14.46",
"3530","晶相光","537,000","441","50,865,200","95.90","96.60","94.00","94.00","-","1.40","94.00","20","94.50","3","41.96",
"3532","台勝科","255,000","215","28,344,000","111.50","112.00","110.50","110.50","-","1.00","110.50","59","111.50","19","12.98",
"3533","嘉澤","2,810,000","2,187","895,179,000","312.00","323.00","309.00","320.00","+","8.50","319.50","9","320.00","65","16.92",
"3535","晶彩科","1,008,000","559","22,854,950","22.70","22.90","22.40","22.70","+","0.45","22.70","279","22.75","55","7.80",
"3536","誠創","62,000","16","199,950","3.20","3.24","3.20","3.24","+","0.04","3.24","2","3.25","4","0.00",
"3545","敦泰","4,717,000","2,085","120,840,900","26.00","26.15","25.25","25.25","-","0.75","25.25","66","25.30","45","0.00",
"3550","聯穎","323,000","106","4,703,450","14.60","14.70","14.50","14.60","-","0.05","14.55","13","14.60","6","29.20",
"3557","嘉威","854,000","349","33,264,550","39.70","39.75","38.45","39.00","-","0.70","39.00","6","39.10","1","69.64",
"3563","牧德","406,000","356","121,013,500","296.50","299.50","296.00","299.00","+","4.00","299.00","7","299.50","14","11.48",
"3576","聯合再生","4,359,000","942","31,380,400","7.18","7.24","7.16","7.19","+","0.01","7.19","20","7.20","76","0.00",
"3583","辛耘","1,377,000","1,042","85,529,100","60.90","63.00","60.40","62.40","+","1.90","62.40","62","62.50","21","10.95",
"3588","通嘉","6,192,000","3,963","187,478,350","29.65","31.50","29.20","29.60","+","0.30","29.60","5","29.65","8","84.57",
"3591","艾笛森","76,000","40","963,500","12.65","12.70","12.65","12.70","+","0.05","12.70","5","12.75","5","0.00",
"3593","力銘","152,000","86","1,098,360","7.25","7.37","7.02","7.15","-","0.20","7.13","2","7.29","1","0.00",
"3596","智易","1,992,000","1,390","183,999,200","92.50","93.20","91.90","91.90","-","0.40","91.80","80","91.90","2","14.25",
"3605","宏致","7,520,000","3,542","225,604,700","29.90","30.50","29.55","29.65","+","0.50","29.65","94","29.80","5","11.54",
"3607","谷崧","82,000","37","1,400,850","17.10","17.20","17.05","17.10","+","0.05","17.05","7","17.15","22","0.00",
"3617","碩天","136,000","125","15,356,000","112.00","114.00","111.50","113.50","+","2.00","113.00","49","113.50","1","13.98",
"3622","洋華","700,000","365","13,872,250","19.65","20.10","19.65","19.85","+","0.50","19.80","1","19.85","3","31.51",
"3645","達邁","560,000","377","27,324,200","48.35","49.00","48.30","48.60","+","0.25","48.60","4","48.80","13","34.96",
"3653","健策","3,998,000","2,944","774,335,000","192.50","196.00","192.00","192.00","-","0.50","192.00","74","192.50","3","33.33",
"3661","世芯-KY","5,539,000","4,223","1,354,371,000","245.00","247.00","241.50","244.00","-","1.00","244.00","4","245.00","6","66.12",
"3665","貿聯-KY","2,687,000","2,099","563,128,500","212.00","212.00","208.50","208.50","-","3.00","208.50","119","209.00","2","13.71",
"3669","圓展","26,000","15","430,700","16.55","16.60","16.50","16.60","+","0.10","16.55","13","16.60","12","33.88",
"3673","TPK-KY","2,665,000","1,714","152,586,400","57.40","57.80","57.00","57.10","-","0.50","57.00","80","57.10","1","46.42",
"3679","新至陞","1,353,000","1,021","92,288,100","66.60","69.50","66.20","69.20","+","5.20","69.00","6","69.20","9","13.13",
"3682","亞太電","16,242,000","3,314","132,040,650","8.13","8.23","8.08","8.08","-","0.05","8.08","691","8.09","12","0.00",
"3686","達能","778,000","154","2,976,580","4.00","4.00","3.73","3.88","-","0.16","3.75","8","3.88","6","0.00",
"3694","海華","54,000","35","979,750","18.10","18.20","18.05","18.05","-","0.05","18.05","9","18.15","7","0.00",
"3698","隆達","1,311,000","639","23,994,500","18.30","18.45","18.20","18.20","-","0.15","18.20","11","18.30","7","0.00",
"3701","大眾控","0","0","0","--","--","--","--"," ","0.00","13.90","1","14.00","1","18.67",
"3702","大聯大","1,351,000","692","51,937,500","38.50","38.50","38.35","38.45","+","0.15","38.40","124","38.45","2","11.44",
"3702A","大聯大甲特","398,000","115","20,555,200","51.60","51.70","51.50","51.60","-","0.10","51.50","132","51.60","8","0.00",
"3703","欣陸","391,000","162","5,095,950","13.05","13.15","13.00","13.00","-","0.10","13.00","51","13.05","16","24.53",
"3704","合勤控","996,000","481","19,530,250","19.50","19.75","19.50","19.55","+","0.10","19.55","8","19.60","16","34.91",
"3705","永信","69,000","42","2,923,750","42.35","42.45","42.35","42.40","+","0.15","42.40","1","42.45","2","16.63",
"3706","神達","3,930,000","1,689","112,876,100","28.85","28.90","28.55","28.70","-","0.10","28.70","76","28.75","102","11.96",
"3708","上緯投控","260,000","210","20,798,500","80.80","80.80","79.80","79.80","-","0.50","79.80","6","79.90","1","9.50",
"3711","日月光投控","6,483,000","2,877","519,532,400","80.10","80.40","79.90","80.40","+","0.30","80.20","38","80.40","204","21.50",
"3712","永崴投控","245,000","120","5,072,950","20.85","20.85","20.60","20.60","+","0.05","20.60","6","20.70","4","0.00",
"4104","佳醫","204,000","131","10,963,000","53.60","53.90","53.50","53.70","+","0.10","53.60","9","53.70","1","13.46",
"4106","雃博","94,000","61","2,279,300","24.25","24.35","24.15","24.35"," ","0.00","24.20","1","24.35","9","23.64",
"4108","懷特","136,000","82","2,498,100","18.65","18.65","18.30","18.35","-","0.15","18.35","2","18.40","2","0.00",
"4119","旭富","588,000","446","63,282,500","108.50","109.00","107.00","107.50","-","1.00","107.50","29","108.00","70","14.43",
"4133","亞諾法","52,000","42","1,348,450","25.75","26.20","25.75","25.95","+","0.10","25.85","1","25.95","4","96.11",
"4137","麗豐-KY","376,000","319","87,752,000","234.00","234.50","232.50","233.00","-","1.00","233.00","5","233.50","9","13.48",
"4141","龍燈-KY","730,000","384","10,627,000","14.95","15.00","14.20","14.40","-","0.55","14.35","29","14.40","25","0.00",
"4142","國光生","3,007,000","1,399","75,249,100","24.80","25.30","24.70","24.90","+","0.15","24.85","86","24.90","1","0.00",
"4144","康聯-KY","113,000","76","3,229,450","28.60","28.80","28.40","28.80","+","0.30","28.45","3","28.80","11","26.92",
"4148","全宇生技-KY","42,000","34","1,753,650","41.10","42.50","41.10","41.70","+","0.65","41.70","4","41.90","2","42.55",
"4155","訊映","385,000","239","13,095,700","33.75","34.35","33.70","34.00","+","0.50","33.95","30","34.00","5","18.89",
"4164","承業醫","450,000","287","18,022,650","40.00","40.30","39.95","40.00","-","0.50","40.00","13","40.10","2","13.99",
"4190","佐登-KY","1,415,000","1,024","160,140,000","111.00","115.00","109.50","115.00","+","4.50","114.50","3","115.00","100","15.48",
"4306","炎洲","1,076,000","314","13,601,850","12.50","12.70","12.50","12.65","+","0.10","12.65","13","12.70","116","29.42",
"4414","如興","3,519,000","1,480","42,486,400","12.15","12.55","11.75","11.90","X","0.00","11.90","20","12.00","29","0.00",
"4426","利勤","1,118,000","721","52,059,650","46.80","47.10","46.20","46.55","-","1.35","46.55","6","46.60","3","18.85",
"4438","廣越","57,000","53","8,438,000","147.00","148.50","147.00","148.00","+","1.00","147.50","8","148.00","3","15.12",
"4439","冠星-KY","393,000","279","76,919,500","198.00","199.50","191.50","195.00","-","6.00","195.00","2","195.50","2","20.74",
"4526","東台","83,000","45","1,394,950","16.70","16.90","16.70","16.85","+","0.15","16.80","19","16.85","2","19.59",
"4532","瑞智","316,000","158","7,220,000","22.90","22.95","22.80","22.85","-","0.10","22.85","1","22.90","36","14.55",
"4536","拓凱","165,000","150","20,708,000","123.00","127.50","122.00","126.50","+","3.50","126.50","7","127.00","4","11.91",
"4540","全球傳動","105,000","90","4,991,750","47.80","47.80","47.35","47.50","-","0.35","47.50","5","47.60","4","66.90",
"4545","銘鈺","128,000","85","3,489,700","28.45","28.45","26.65","27.00","-","0.70","26.70","1","27.00","5","100.00",
"4551","智伸科","369,000","319","65,844,000","181.50","181.50","176.50","177.00","-","4.00","177.00","20","178.00","2","23.51",
"4552","力達-KY","356,000","250","14,070,050","39.40","39.70","39.20","39.40","+","0.35","39.40","15","39.55","1","10.15",
