"108年12月04日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"2038","海光","74,000","18","525,650","7.07","7.12","7.07","7.10"," ","0.00","7.10","3","7.12","8","0.00",
"2049","上銀","1,111,000","886","294,999,000","266.00","267.00","264.50","264.50","-","3.00","264.50","20","265.00","7","30.37",
"2059","川湖","310,000","272","109,595,000","356.00","357.50","351.00","357.50","+","5.00","357.00","1","358.00","2","19.73",
"2062","橋椿","30,000","29","827,350","27.70","27.70","27.50","27.50","-","0.20","27.50","1","27.55","1","61.11",
"2069","運錩","147,000","52","2,727,400","18.60","18.60","18.50","18.55","-","0.05","18.55","17","18.70","3","0.00",
"2101","南港","2,360,000","1,123","116,411,200","48.60","49.95","48.40","49.20","+","0.60","49.20","119","49.25","15","39.05",
"2102","泰豐","822,000","257","10,581,700","12.95","13.00","12.80","12.95"," ","0.00","12.90","35","12.95","26","0.00",
"2103","台橡","714,000","576","17,294,050","24.30","24.40","24.15","24.15","-","0.15","24.15","49","24.20","4","19.96",
"2104","國際中橡","815,000","498","24,803,650","30.55","30.55","30.35","30.45","-","0.10","30.40","104","30.45","2","15.54",
"2105","正新","3,828,000","2,129","157,752,850","41.45","41.60","41.00","41.35","-","0.05","41.30","14","41.35","41","37.94",
"2106","建大","466,000","400","14,276,200","30.40","30.80","30.30","30.75","+","0.35","30.75","1","30.80","14","26.06",
"2107","厚生","592,000","195","11,101,450","18.80","18.85","18.70","18.75","-","0.15","18.70","19","18.75","8","13.89",
"2108","南帝","327,000","183","9,642,800","29.55","29.65","29.35","29.50","-","0.05","29.45","40","29.50","5","9.77",
"2109","華豐","116,000","53","1,276,200","10.90","11.10","10.90","11.00"," ","0.00","11.00","50","11.10","13","0.00",
"2114","鑫永銓","28,000","14","2,325,500","83.10","83.10","83.00","83.00","-","0.20","82.90","5","83.10","20","15.15",
"2115","六暉-KY","67,000","55","2,814,600","41.70","42.45","41.70","42.45","+","0.85","42.45","3","42.50","4","14.74",
"2201","裕隆","1,347,000","685","25,549,100","18.90","19.10","18.90","18.95","+","0.05","18.95","7","19.00","147","0.00",
"2204","中華","529,000","399","20,586,200","39.00","39.05","38.75","39.05","-","0.10","38.90","5","39.05","3","21.22",
"2206","三陽工業","1,050,000","443","21,988,200","21.10","21.10","20.85","20.90","-","0.10","20.85","84","20.90","35","10.40",
"2207","和泰車","413,000","361","251,493,000","616.00","616.00","601.00","615.00","-","2.00","613.00","1","615.00","4","29.96",
"2208","台船","231,000","136","6,097,350","26.50","26.60","26.30","26.35","-","0.05","26.35","8","26.40","7","0.00",
"2227","裕日車","52,000","50","14,771,000","288.00","288.00","281.00","283.00","-","1.50","283.00","1","283.50","1","12.86",
"2228","劍麟","416,000","354","45,811,000","109.50","111.00","109.00","110.00","-","0.50","110.00","5","110.50","1","14.53",
"2231","為升","351,000","311","84,654,000","244.50","244.50","239.50","240.50","-","5.00","240.00","18","240.50","9","25.89",
"2233","宇隆","137,000","104","9,425,800","68.70","69.40","68.50","68.60","-","0.10","68.60","5","68.70","8","12.21",
"2236","百達-KY","26,000","24","626,900","24.40","24.40","23.90","23.90","-","0.50","23.70","12","23.85","2","9.84",
"2239","英利-KY","15,000","15","1,399,700","93.30","93.50","93.10","93.40","-","0.10","93.10","2","93.50","1","16.05",
"2243","宏旭-KY","1,445,000","748","19,536,000","13.35","14.00","12.85","12.90","+","0.15","12.90","11","12.95","12","0.00",
"2301","光寶科","3,154,000","1,415","153,401,700","48.40","48.80","48.35","48.75","+","0.25","48.60","8","48.75","21","11.95",
"2302","麗正","56,000","30","434,950","7.80","7.80","7.75","7.76","-","0.04","7.76","2","7.81","2","64.67",
"2303","聯電","190,082,000","23,200","2,988,105,400","15.40","15.95","15.40","15.85","+","0.50","15.80","769","15.85","2,084","44.03",
"2305","全友","175,000","85","1,120,380","6.44","6.50","6.37","6.37","-","0.09","6.37","24","6.43","3","0.00",
"2308","台達電","3,278,000","1,846","458,513,000","140.50","141.00","139.00","140.00","-","1.50","139.50","26","140.00","41","15.10",
"2312","金寶","1,941,000","588","22,933,650","11.95","11.95","11.75","11.85","-","0.05","11.80","62","11.85","541","21.55",
"2313","華通","30,397,000","13,754","1,441,353,750","48.10","48.40","46.90","46.90","-","1.55","46.90","312","46.95","6","19.87",
"2314","台揚","657,000","340","14,794,100","22.80","22.80","22.40","22.60","-","0.20","22.55","17","22.60","9","0.00",
"2316","楠梓電","2,817,000","1,520","105,318,100","37.00","38.10","36.50","37.20","+","0.40","37.15","32","37.20","67","12.20",
"2317","鴻海","23,615,000","9,127","2,106,450,800","90.00","90.00","88.70","89.50","-","0.50","89.40","89","89.50","348","9.53",
"2321","東訊","490,000","61","536,780","1.08","1.11","1.08","1.11","-","0.05","1.11","17","1.13","6","0.00",
"2323","中環","11,658,000","2,726","117,816,400","10.10","10.25","10.05","10.05","-","0.10","10.05","505","10.10","14","9.14",
"2324","仁寶","9,082,000","1,991","170,840,550","18.85","18.85","18.65","18.85","+","0.05","18.80","223","18.85","1,101","12.40",
"2327","國巨","26,049,000","19,487","9,545,980,000","364.50","375.00","358.00","361.00","-","2.00","361.00","42","361.50","4","14.89",
"2328","廣宇","1,752,000","892","43,270,250","24.70","24.90","24.45","24.70","-","0.10","24.65","15","24.70","4","10.51",
"2329","華泰","5,318,000","1,985","85,113,300","15.70","16.20","15.65","15.80","-","0.15","15.80","273","15.85","8","14.50",
"2330","台積電","25,373,000","9,268","7,741,680,500","305.00","306.00","304.00","306.00","-","1.00","305.50","78","306.00","1,487","24.09",
"2331","精英","355,000","167","4,542,850","12.90","12.90","12.70","12.80"," ","0.00","12.80","18","12.85","15","256.00",
"2332","友訊","1,186,000","452","14,890,800","12.50","12.65","12.45","12.55"," ","0.00","12.55","40","12.60","45","0.00",
"2337","旺宏","78,539,000","29,719","2,781,960,700","35.40","35.95","34.90","35.50","-","0.25","35.50","679","35.55","70","12.72",
"2338","光罩","3,494,000","2,000","108,854,650","31.75","31.75","30.75","31.00","-","0.95","30.95","66","31.00","10","21.53",
"2340","光磊","2,467,000","1,243","63,304,500","25.60","25.90","25.45","25.70","+","0.05","25.70","152","25.75","1","15.48",
"2342","茂矽","166,000","87","3,022,100","18.15","18.40","18.10","18.15"," ","0.00","18.15","28","18.25","1","0.00",
"2344","華邦電","34,609,000","8,570","612,465,000","17.50","17.95","17.35","17.80","+","0.10","17.80","2,218","17.85","522","30.17",
"2345","智邦","6,392,000","3,788","1,015,352,000","157.00","161.50","156.50","157.50","+","0.50","157.50","151","158.00","123","18.75",
"2347","聯強","2,478,000","1,090","91,589,850","36.90","37.15","36.80","37.15","+","0.25","37.05","26","37.15","53","9.96",
"2348","海悅","389,000","252","21,001,700","53.80","54.40","53.50","53.80","+","0.40","53.80","2","54.00","12","10.35",
"2349","錸德","3,693,000","1,105","25,651,800","7.00","7.00","6.92","6.92","-","0.11","6.92","112","6.94","1","0.00",
"2351","順德","114,000","100","6,927,400","61.10","61.10","60.60","60.80","-","0.30","60.70","3","60.90","1","17.27",
"2352","佳世達","2,539,000","938","55,460,550","21.90","21.95","21.70","21.85","-","0.05","21.80","162","21.85","11","10.82",
"2353","宏碁","5,027,000","1,286","89,788,850","17.85","17.95","17.75","17.95","+","0.10","17.90","52","17.95","418","19.10",
"2354","鴻準","2,416,000","1,436","161,847,700","67.00","67.20","66.60","67.10","+","0.10","67.00","9","67.10","45","10.47",
"2355","敬鵬","511,000","388","15,896,200","31.00","31.25","30.90","31.20","-","0.05","31.15","1","31.20","11","19.38",
"2356","英業達","4,772,000","2,241","110,162,650","23.10","23.20","22.85","23.20","+","0.05","23.15","69","23.20","214","14.97",
"2357","華碩","1,494,000","937","346,112,000","231.00","233.00","229.00","233.00"," ","0.00","232.50","46","233.00","53","25.92",
"2358","廷鑫","87,000","47","1,238,600","14.35","14.35","14.20","14.35","-","0.05","14.30","5","14.35","6","46.29",
"2359","所羅門","367,000","184","7,675,950","20.95","21.05","20.80","20.90","-","0.15","20.90","6","20.95","9","9.17",
"2360","致茂","1,095,000","835","148,585,500","137.50","138.00","134.00","137.00"," ","0.00","136.50","1","137.00","1","33.09",
"2362","藍天","4,375,000","1,969","163,480,050","37.90","37.90","36.90","36.95","-","1.15","36.95","27","37.00","3","17.76",
"2363","矽統","9,112,000","2,711","75,766,720","8.09","8.44","8.09","8.39","+","0.29","8.38","79","8.39","105","0.00",
"2364","倫飛","50,000","14","113,130","2.18","2.29","2.18","2.29","-","0.01","2.28","5","2.29","2","0.00",
"2365","昆盈","118,000","35","940,220","7.98","7.98","7.96","7.97","-","0.01","7.97","25","7.99","1","99.62",
"2367","燿華","11,885,000","5,681","387,653,000","32.45","32.90","32.35","32.70","+","0.25","32.65","19","32.70","101","12.20",
"2368","金像電","8,266,000","2,383","128,399,050","15.55","15.75","15.35","15.55","-","0.15","15.50","90","15.55","57","0.00",
"2369","菱生","408,000","150","3,584,380","8.73","8.95","8.73","8.80"," ","0.00","8.78","13","8.80","14","0.00",
"2371","大同","4,455,000","1,594","96,416,100","21.70","21.80","21.55","21.55","-","0.35","21.55","201","21.65","8","0.00",
"2373","震旦行","21,000","20","1,924,600","91.90","91.90","91.40","91.80","-","0.10","91.40","1","91.80","4","14.55",
"2374","佳能","187,000","107","3,096,550","16.55","16.65","16.50","16.60","+","0.05","16.50","41","16.60","6","0.00",
"2375","凱美","2,436,000","1,682","99,177,200","40.45","41.10","40.30","40.60","+","0.25","40.60","3","40.65","7","34.41",
"2376","技嘉","1,456,000","887","73,427,600","50.70","50.70","50.20","50.40","-","0.60","50.30","97","50.40","11","18.95",
"2377","微星","2,699,000","1,297","228,565,200","84.40","85.20","84.10","84.50"," ","0.00","84.40","38","84.50","269","14.42",
"2379","瑞昱","1,626,000","1,150","365,072,000","227.00","227.00","223.50","225.00","-","2.00","224.50","5","225.00","75","18.31",
"2380","虹光","461,000","193","1,659,060","3.41","3.75","3.37","3.69","+","0.28","3.68","1","3.69","1","0.00",
"2382","廣達","5,325,000","2,691","325,518,800","61.50","61.50","60.60","61.40","-","0.20","61.30","10","61.40","63","15.20",
"2383","台光電","1,909,000","1,296","232,627,500","121.50","123.00","120.50","122.00","-","0.50","122.00","71","122.50","66","15.40",
"2385","群光","1,676,000","1,061","148,559,800","89.50","89.50","88.00","89.10","+","0.10","89.00","1","89.10","33","11.24",
"2387","精元","843,000","501","30,020,150","35.50","35.85","35.40","35.50","-","0.25","35.50","5","35.55","1","45.51",
"2388","威盛","262,000","166","8,401,800","32.25","32.30","32.00","32.05","-","0.30","32.00","23","32.05","1","320.50",
"2390","云辰","750,000","343","8,403,800","11.15","11.35","11.10","11.10","-","0.10","11.10","26","11.20","12","0.00",
"2392","正崴","5,856,000","3,357","254,380,200","44.00","44.45","43.00","43.00","-","0.90","43.00","152","43.10","10","9.25",
"2393","億光","5,592,000","2,943","192,156,150","35.00","35.20","33.70","34.10","-","0.75","34.05","1","34.10","10","20.42",
"2395","研華","609,000","486","182,541,000","303.50","303.50","297.50","302.00"," ","0.00","301.50","2","302.00","80","29.01",
"2397","友通","285,000","234","23,865,000","84.00","85.40","82.60","82.70","+","1.10","82.60","3","82.70","1","14.74",
"2399","映泰","1,240,000","538","14,518,450","11.60","11.85","11.60","11.75","+","0.15","11.70","94","11.75","1","0.00",
"2401","凌陽","728,000","268","9,327,000","12.95","12.95","12.75","12.80","-","0.15","12.80","86","12.85","4","0.00",
"2402","毅嘉","1,010,000","386","16,751,750","16.80","16.80","16.50","16.55","-","0.25","16.55","15","16.60","30","20.18",
"2404","漢唐","1,168,000","854","200,082,000","173.00","173.00","170.00","171.00","-","3.00","171.00","48","171.50","5","11.76",
"2405","浩鑫","1,043,000","409","13,060,700","12.65","12.65","12.45","12.50","-","0.15","12.50","1","12.55","45","0.00",
"2406","國碩","5,853,000","2,018","73,985,300","13.00","13.05","12.35","12.40","-","0.25","12.40","21","12.45","16","0.00",
"2408","南亞科","20,169,000","10,632","1,472,284,500","73.00","73.90","71.70","72.60","-","0.70","72.60","185","72.70","9","13.44",
"2409","友達","50,904,000","11,429","429,829,870","8.43","8.52","8.37","8.48","+","0.05","8.48","65","8.49","689","0.00",
"2412","中華電","3,777,000","1,555","425,928,500","113.00","113.00","112.50","113.00"," ","0.00","112.50","1,244","113.00","1,998","26.22",
"2413","環科","209,000","116","3,183,750","15.40","15.40","15.10","15.40","-","0.15","15.20","4","15.45","5","0.00",
"2414","精技","107,000","59","2,387,400","22.30","22.45","22.20","22.45","+","0.15","22.30","4","22.45","4","12.90",
"2415","錩新","43,000","37","817,350","18.85","19.10","18.85","18.90","-","0.05","18.90","3","19.00","1","31.50",
"2417","圓剛","178,000","51","1,797,400","10.10","10.15","10.05","10.05","-","0.10","10.05","82","10.10","2","143.57",
"2419","仲琦","868,000","416","16,867,000","19.40","19.55","19.30","19.50","+","0.15","19.45","53","19.50","26","17.89",
"2420","新巨","115,000","73","4,154,700","36.05","36.25","36.05","36.15","-","0.15","36.10","6","36.20","16","10.63",
"2421","建準","2,926,000","1,938","125,202,150","42.70","43.10","42.35","42.80","-","0.70","42.80","9","42.85","6","17.76",
"2423","固緯","77,000","38","2,058,650","26.70","26.80","26.70","26.75","+","0.05","26.70","8","26.75","2","11.78",
"2424","隴華","5,000","5","135,250","27.10","27.10","27.00","27.05","X","0.00","27.00","1","27.50","1","0.00",
"2425","承啟","128,000","88","3,870,550","30.30","30.45","30.00","30.10","-","0.20","30.05","2","30.10","6","22.46",
"2426","鼎元","316,000","155","4,296,450","13.60","13.70","13.55","13.55","-","0.10","13.55","7","13.65","16","112.92",
"2427","三商電","70,000","25","750,300","10.70","10.75","10.70","10.75"," ","0.00","10.70","51","10.75","22","14.33",
"2428","興勤","2,391,000","1,725","224,943,500","94.40","96.30","92.10","92.20","-","0.50","92.20","24","92.30","2","11.15",
"2429","銘旺科","210,000","120","5,879,900","28.10","28.30","27.80","27.80","-","1.00","27.80","1","27.90","7","0.00",
"2430","燦坤","97,000","39","1,670,500","17.25","17.25","17.15","17.25"," ","0.00","17.20","6","17.25","4","17.42",
"2431","聯昌","117,000","60","1,344,050","11.50","11.55","11.45","11.50","-","0.10","11.50","37","11.55","1","0.00",
"2433","互盛電","52,000","36","2,738,100","53.00","53.00","52.60","52.70","-","0.30","52.70","2","52.90","12","12.49",
"2434","統懋","6,000","4","40,200","6.70","6.70","6.70","6.70","-","0.15","6.70","5","6.80","5","0.00",
"2436","偉詮電","306,000","159","7,901,100","26.00","26.00","25.75","25.80","-","0.20","25.80","27","25.90","4","25.54",
"2438","翔耀","25,000","9","149,480","6.00","6.00","5.97","5.99","+","0.01","5.97","5","6.00","9","0.00",
"2439","美律","1,754,000","1,334","270,303,500","155.00","155.00","153.50","154.00","-","1.00","154.00","7","154.50","86","9.62",
"2440","太空梭","35,000","13","314,960","9.00","9.00","8.96","8.96","-","0.04","8.95","1","9.03","1","0.00",
"2441","超豐","286,000","193","12,833,400","44.50","45.00","44.50","45.00"," ","0.00","44.95","20","45.00","22","13.85",
"2442","新美齊","544,000","231","5,760,700","10.60","10.65","10.55","10.60","-","0.05","10.60","4","10.65","49","3.29",
"2443","新利虹","56,000","18","165,040","2.97","2.97","2.93","2.97","+","0.01","2.95","2","2.97","3","0.00",
"2444","兆勁","5,224,000","479","117,670,600","23.00","23.00","22.00","22.25","-","0.05","22.25","13","22.30","111","0.00",
"2448","晶電","31,580,000","12,891","1,031,657,950","32.85","33.40","32.20","32.35","-","0.75","32.35","105","32.40","4","0.00",
"2449","京元電子","6,681,000","3,200","240,841,100","35.85","36.35","35.85","36.20","+","0.15","36.15","9","36.20","55","18.01",
"2450","神腦","50,000","43","1,538,000","30.65","30.95","30.65","30.85","+","0.15","30.70","12","30.90","2","18.36",
"2451","創見","568,000","460","41,196,200","73.00","73.00","72.20","72.70","-","0.10","72.40","4","72.70","6","18.18",
"2453","凌群","99,000","65","1,602,050","16.25","16.25","16.15","16.25"," ","0.00","16.25","1","16.30","19","14.77",
"2454","聯發科","6,038,000","4,053","2,544,372,000","418.00","424.50","416.50","424.50","+","6.50","424.00","2","424.50","127","32.75",
"2455","全新","3,398,000","2,095","390,696,000","115.00","117.00","113.00","115.00","-","1.00","114.50","11","115.00","469","45.63",
"2456","奇力新","14,602,000","9,262","1,506,696,500","103.00","104.50","102.00","103.00"," ","0.00","102.50","49","103.00","161","18.17",
"2457","飛宏","2,405,000","802","23,544,870","9.47","9.99","9.47","9.92","+","0.44","9.90","11","9.92","14","0.00",
"2458","義隆","925,000","732","81,694,200","88.00","88.80","87.60","88.80","+","0.60","88.60","4","88.80","41","13.23",
"2459","敦吉","81,000","46","3,342,500","41.25","41.40","41.15","41.35","-","0.10","41.35","5","41.40","14","10.49",
"2460","建通","39,000","17","387,380","9.99","9.99","9.83","9.90"," ","0.00","9.85","3","9.91","1","0.00",
"2461","光群雷","502,000","286","10,059,800","20.20","20.20","19.90","20.05","-","0.15","20.00","16","20.05","5","52.76",
"2462","良得電","103,000","20","2,912,400","28.40","28.40","28.20","28.40"," ","0.00","28.20","5","28.40","2","20.43",
"2464","盟立","307,000","204","11,969,750","38.95","39.25","38.90","38.95"," ","0.00","38.95","15","39.00","4","8.91",
"2465","麗臺","69,000","42","756,650","10.90","11.05","10.90","11.00","+","0.05","10.95","14","11.00","16","0.00",
"2466","冠西電","59,000","42","1,900,950","32.20","32.35","32.10","32.30"," ","0.00","32.00","1","32.30","3","179.44",
"2467","志聖","123,000","81","3,113,050","25.15","25.35","25.15","25.35","+","0.20","25.35","5","25.40","17","8.89",
"2468","華經","6,000","2","74,400","12.40","12.40","12.40","12.40"," ","0.00","12.40","5","12.45","1","19.68",
"2471","資通","57,000","23","1,035,850","18.10","18.25","18.10","18.15","+","0.05","18.15","2","18.20","12","12.35",
"2472","立隆電","1,196,000","635","51,205,650","42.35","43.20","42.25","42.80","+","0.30","42.75","8","42.80","13","12.66",
"2474","可成","4,490,000","3,103","1,112,713,000","252.00","252.00","245.50","249.50","-","1.50","249.00","2","249.50","72","13.04",
"2476","鉅祥","24,000","23","565,750","23.55","23.70","23.50","23.60","-","0.05","23.50","14","23.65","5","12.16",
"2477","美隆電","722,000","434","19,548,250","27.90","27.90","26.75","27.00","-","0.90","27.00","8","27.05","8","16.77",
"2478","大毅","17,882,000","9,667","866,341,900","47.50","49.60","47.30","49.60","+","4.50","49.60","9,251","--","0","11.78",
"2480","敦陽科","123,000","96","6,545,300","53.00","53.40","53.00","53.30","+","0.30","53.20","13","53.30","1","12.75",
"2481","強茂","1,820,000","1,193","47,028,700","25.35","26.15","25.30","25.90","+","0.55","25.85","27","25.90","1","15.89",
"2482","連宇","44,000","35","540,600","12.25","12.35","12.25","12.30"," ","0.00","12.25","17","12.30","19","21.58",
"2483","百容","23,000","15","471,150","20.50","20.50","20.45","20.50"," ","0.00","20.45","1","20.50","6","12.13",
"2484","希華","3,896,000","1,766","83,584,350","21.30","21.70","21.10","21.70","+","0.45","21.65","25","21.70","94","17.79",
"2485","兆赫","447,000","223","8,900,900","19.90","20.05","19.80","19.90","-","0.05","19.90","20","19.95","59","44.22",
"2486","一詮","253,000","86","2,043,800","8.08","8.13","8.04","8.08"," ","0.00","8.06","1","8.08","6","0.00",
"2488","漢平","192,000","140","6,585,450","34.35","34.40","34.05","34.25"," ","0.00","34.25","3","34.40","6","9.31",
"2489","瑞軒","686,000","245","7,309,200","10.60","10.70","10.60","10.70","+","0.10","10.65","3","10.70","185","32.42",
"2491","吉祥全","39,000","24","377,730","9.80","9.90","9.51","9.66","-","0.34","9.66","1","9.75","1","0.00",
"2492","華新科","11,064,000","7,537","1,959,239,000","178.00","180.00","174.50","175.50","-","1.50","175.50","23","176.00","340","8.20",
"2493","揚博","60,000","39","1,659,000","27.60","27.70","27.60","27.65","+","0.05","27.65","6","27.70","12","10.84",
"2495","普安","74,000","58","1,028,350","13.95","13.95","13.85","13.90","-","0.05","13.90","8","13.95","19","12.75",
"2496","卓越","39,000","12","2,549,000","64.50","65.50","64.50","65.40","+","0.40","65.00","1","65.50","5","11.39",
"2497","怡利電","12,000","11","267,350","22.40","22.40","22.20","22.30"," ","0.00","22.20","3","22.30","1","0.00",
"2498","宏達電","2,098,000","1,172","73,769,550","35.45","35.45","35.05","35.15","-","0.30","35.15","51","35.20","32","0.00",
"2499","東貝","1,285,000","530","8,872,140","6.85","6.97","6.85","6.95","+","0.08","6.94","4","6.95","4","0.00",
"2501","國建","464,000","294","9,546,400","20.70","20.80","20.50","20.55","-","0.15","20.55","12","20.65","3","17.27",
"2504","國產","5,270,000","1,600","70,834,000","13.35","13.55","13.25","13.50","+","0.15","13.45","40","13.50","126","27.55",
"2505","國揚","2,363,000","664","35,949,550","15.20","15.50","14.95","15.40","+","0.20","15.35","21","15.40","17","102.67",
"2506","太設","55,000","18","620,100","11.25","11.30","11.25","11.30","+","0.05","11.25","44","11.30","54","18.83",
"2509","全坤建","53,000","27","1,229,700","23.10","23.50","23.00","23.20","+","0.10","23.15","1","23.20","8","3.37",
"2511","太子","497,000","155","5,557,100","11.20","11.20","11.15","11.20"," ","0.00","11.15","236","11.20","178","13.66",
"2514","龍邦","430,000","220","6,672,050","15.45","15.65","15.45","15.50","-","0.05","15.50","20","15.55","48","25.00",
"2515","中工","7,222,000","1,330","55,488,940","7.75","7.76","7.65","7.71","-","0.04","7.69","1","7.71","190","59.31",
"2516","新建","109,000","11","653,920","5.99","6.01","5.99","6.01"," ","0.00","6.00","3","6.01","4","30.05",
"2520","冠德","9,419,000","4,355","309,123,700","32.85","33.30","32.10","33.10","+","0.25","33.10","46","33.15","74","10.71",
"2524","京城","101,000","45","3,160,300","31.15","31.40","31.15","31.30"," ","0.00","31.25","14","31.40","1","9.84",
"2527","宏璟","71,000","41","1,598,150","22.50","22.65","22.45","22.55","-","0.10","22.45","22","22.60","4","6.16",
"2528","皇普","95,000","39","1,846,800","19.40","19.60","19.25","19.45","-","0.05","19.45","6","19.65","1","0.00",
"2530","華建","21,000","18","331,450","15.80","15.85","15.65","15.85","+","0.05","15.75","1","15.85","5","0.00",
"2534","宏盛","3,205,000","1,178","72,036,450","22.20","22.85","22.15","22.35","+","0.10","22.35","167","22.40","51","12.35",
"2535","達欣工","580,000","265","12,087,150","20.85","20.90","20.80","20.90","+","0.05","20.85","38","20.90","80","10.56",
"2536","宏普","1,783,000","891","40,471,650","22.45","22.95","22.30","22.70","+","0.75","22.65","23","22.70","3","13.27",
"2537","聯上發","178,000","74","1,459,100","8.22","8.23","8.17","8.19","-","0.02","8.19","5","8.21","1","0.00",
"2538","基泰","342,000","135","4,236,650","12.45","12.45","12.35","12.45","-","0.05","12.40","7","12.45","48","113.18",
"2539","櫻花建","67,000","20","1,955,900","29.20","29.25","29.10","29.20","+","0.10","29.10","1","29.15","7","16.50",
"2540","愛山林","14,000","6","319,400","22.80","23.00","22.60","23.00","+","0.20","23.00","2","23.30","6","46.94",
"2542","興富發","1,966,000","1,372","91,472,950","46.55","46.70","46.45","46.60","-","0.10","46.55","2","46.60","33","12.59",
"2543","皇昌","6,000","3","44,400","7.40","7.40","7.40","7.40"," ","0.00","7.40","1","7.49","1","0.00",
"2545","皇翔","632,000","351","24,604,950","39.00","39.20","38.50","39.00"," ","0.00","38.95","7","39.00","16","30.95",
"2546","根基","39,000","23","1,436,050","36.95","36.95","36.75","36.90","-","0.05","36.80","16","36.95","5","8.64",
"2547","日勝生","783,000","430","9,124,700","11.75","11.80","11.60","11.65","-","0.10","11.65","18","11.70","144","166.43",
"2548","華固","1,073,000","714","100,725,500","94.10","94.80","93.40","94.80","+","0.70","94.80","2","94.90","33","7.83",
"2597","潤弘","26,000","19","1,530,600","59.10","59.10","58.50","59.00","-","0.10","58.90","1","59.00","1","13.56",
"2601","益航","696,000","269","7,628,550","10.95","11.00","10.90","11.00"," ","0.00","11.00","14","11.05","15","5.70",
"2603","長榮","9,540,000","2,013","118,002,150","12.45","12.50","12.30","12.35","-","0.10","12.35","202","12.40","858","53.70",
"2605","新興","701,000","239","11,198,050","16.10","16.20","15.80","16.05","-","0.05","16.00","1","16.05","10","0.00",
"2606","裕民","1,122,000","619","38,381,800","34.10","34.35","34.00","34.35"," ","0.00","34.25","15","34.35","1","24.36",
"2607","榮運","754,000","349","10,812,450","14.40","14.40","14.25","14.30","-","0.10","14.30","47","14.35","4","18.57",
"2608","嘉里大榮","35,000","31","1,359,050","38.70","38.90","38.70","38.85"," ","0.00","38.80","5","38.90","11","13.35",
"2609","陽明","1,184,000","393","8,814,800","7.50","7.50","7.36","7.49","-","0.01","7.46","7","7.49","36","0.00",
"2610","華航","6,903,000","2,054","62,214,710","9.03","9.03","9.00","9.00","-","0.04","9.00","3,467","9.01","51","300.00",
"2611","志信","62,000","24","448,150","7.25","7.28","7.21","7.27","-","0.01","7.22","2","7.28","10","14.84",
"2612","中航","89,000","56","2,697,750","30.45","30.45","30.20","30.35","-","0.10","30.30","2","30.35","10","13.86",
"2613","中櫃","593,000","284","8,878,750","14.90","15.10","14.75","14.95","+","0.20","14.90","17","14.95","7","115.00",
"2614","東森","370,000","130","3,766,000","10.15","10.25","10.10","10.25","+","0.05","10.20","114","10.25","54","0.00",
"2615","萬海","819,000","447","15,133,550","18.55","18.55","18.40","18.55"," ","0.00","18.50","18","18.55","19","15.46",
"2616","山隆","49,000","39","1,451,350","29.65","29.70","29.55","29.65"," ","0.00","29.65","4","29.75","10","14.61",
"2617","台航","115,000","62","2,094,750","18.25","18.30","18.15","18.20","-","0.05","18.15","30","18.20","23","12.38",
"2618","長榮航","7,052,000","2,406","97,897,900","14.00","14.00","13.85","13.85","-","0.15","13.85","875","13.90","319","17.76",
"2630","亞航","16,000","8","291,850","18.15","18.35","18.15","18.25","+","0.25","18.20","1","18.30","3","26.45",
"2633","台灣高鐵","1,579,000","790","56,508,100","35.70","35.95","35.65","35.95","+","0.20","35.85","40","35.95","12","24.79",
"2634","漢翔","1,988,000","1,077","62,211,550","31.30","31.45","31.20","31.30","-","0.05","31.30","173","31.35","7","15.19",
"2636","台驊投控","62,000","47","1,483,250","24.05","24.05","23.85","23.95"," ","0.00","23.90","13","23.95","7","9.82",
"2637","慧洋-KY","398,000","222","11,798,400","29.70","29.70","29.60","29.65","-","0.10","29.65","14","29.70","21","7.89",
"2642","宅配通","151,000","92","4,360,400","28.75","29.05","28.75","28.95","+","0.05","28.95","13","29.00","13","18.80",
"2701","萬企","39,000","18","517,800","13.25","13.30","13.25","13.25","-","0.05","13.25","21","13.30","9","14.25",
"2702","華園","58,000","30","1,101,650","18.95","19.10","18.95","18.95","-","0.15","18.95","3","19.00","4","27.87",
"2704","國賓","1,222,000","505","37,735,850","30.60","31.35","30.50","31.35","+","0.75","31.30","1","31.35","61","31.99",
"2705","六福","144,000","65","2,164,750","15.10","15.15","14.90","15.15","+","0.05","15.00","3","15.15","7","0.00",
"2706","第一店","12,000","10","183,600","15.30","15.35","15.25","15.35","-","0.05","15.25","19","15.35","4","13.46",
"2707","晶華","124,000","99","20,931,500","170.00","170.00","168.50","169.00","-","1.00","168.50","5","169.00","10","15.68",
"2712","遠雄來","31,000","30","1,573,700","51.70","51.70","50.30","50.30","-","2.50","50.20","1","51.20","1","0.00",
"2722","夏都","0","0","0","--","--","--","--"," ","0.00","24.35","1","25.05","1","46.51",
"2723","美食-KY","374,000","260","46,167,000","123.00","124.50","122.50","124.00"," ","0.00","124.00","9","124.50","30","21.02",
"2727","王品","112,000","83","9,066,500","81.00","81.40","80.70","81.10","-","0.10","81.10","4","81.30","1","17.79",
"2731","雄獅","15,000","11","1,136,300","75.60","75.80","75.60","75.80","+","0.10","75.70","5","75.80","4","34.77",
